HRU_ID,2012,2013,2014,2015,2016
2677,19,28,4,28,4
3466,16,-999,-999,-999,-999
3462,2,2,2,2,2
1545,16,-999,-999,-999,-999
3464,16,-999,-999,-999,-999
3465,16,-999,-999,-999,-999
1723,2,2,2,2,2
1724,2,2,2,2,2
1393,2,2,2,2,2
1726,52,52,52,52,52
1727,2,2,2,2,2
1728,5,5,5,5,5
1397,5,5,5,5,5
1398,5,5,5,5,5
881,16,-999,-999,-999,-999
351,16,-999,-999,-999,-999
883,19,28,19,28,19
353,5,5,5,5,5
354,5,5,5,5,5
355,5,5,5,5,5
356,5,5,5,5,5
1548,52,28,31,31,4
977,16,-999,-999,-999,-999
978,28,19,28,19,28
975,16,-999,-999,-999,-999
976,16,-999,-999,-999,-999
973,52,52,52,52,52
1549,52,28,31,31,4
971,16,-999,-999,-999,-999
972,5,5,5,5,5
2373,2,2,2,2,2
2374,15,-999,-999,-999,-999
2371,2,2,2,2,2
2372,2,2,2,2,2
2377,2,2,2,2,2
2378,2,2,2,2,2
979,16,-999,-999,-999,-999
980,28,19,28,19,28
851,16,-999,-999,-999,-999
2190,2,2,2,2,2
2842,2,2,2,2,2
2843,16,-999,-999,-999,-999
2844,16,-999,-999,-999,-999
2845,16,-999,-999,-999,-999
2846,5,5,5,5,5
2847,16,-999,-999,-999,-999
1351,16,-999,-999,-999,-999
2849,15,-999,-999,-999,-999
1349,16,-999,-999,-999,-999
2851,16,-999,-999,-999,-999
1347,16,-999,-999,-999,-999
1348,16,-999,-999,-999,-999
1345,16,-999,-999,-999,-999
1346,16,-999,-999,-999,-999
1343,16,-999,-999,-999,-999
1344,16,-999,-999,-999,-999
2087,2,2,2,2,2
779,2,2,2,2,2
780,2,2,2,2,2
775,28,19,19,19,19
776,28,19,28,19,19
777,5,5,5,5,5
778,5,5,5,5,5
771,2,2,2,2,2
772,2,2,2,2,2
773,15,-999,-999,-999,-999
774,2,2,2,2,2
579,16,-999,-999,-999,-999
580,16,-999,-999,-999,-999
573,16,-999,-999,-999,-999
574,16,-999,-999,-999,-999
571,16,-999,-999,-999,-999
572,16,-999,-999,-999,-999
577,16,-999,-999,-999,-999
578,16,-999,-999,-999,-999
575,16,-999,-999,-999,-999
3463,2,2,2,2,2
1165,8,-999,-999,-999,-999
1166,8,-999,-999,-999,-999
1163,8,-999,-999,-999,-999
1164,8,-999,-999,-999,-999
1169,16,-999,-999,-999,-999
1170,11,-999,-999,-999,-999
1167,11,-999,-999,-999,-999
1168,11,-999,-999,-999,-999
1171,11,-999,-999,-999,-999
1172,11,-999,-999,-999,-999
682,16,-999,-999,-999,-999
358,5,5,5,5,5
359,5,5,5,5,5
2914,-999,-999,-999,-999,-999
1725,5,5,5,5,5
220,15,-999,-999,-999,-999
221,15,-999,-999,-999,-999
222,15,-999,-999,-999,-999
223,15,-999,-999,-999,-999
224,28,19,28,19,28
225,28,19,28,19,28
226,16,-999,-999,-999,-999
227,28,19,28,19,28
228,2,2,2,2,2
229,2,2,2,2,2
1400,2,2,2,2,2
1729,28,19,52,19,19
2915,2,2,2,2,2
1730,5,5,5,5,5
1090,5,5,5,5,5
1731,2,2,2,2,2
1457,2,2,2,2,2
882,2,2,2,2,2
889,2,2,2,2,2
1692,2,2,2,2,2
352,5,5,5,5,5
1712,2,2,2,2,2
2912,16,-999,-999,-999,-999
885,16,-999,-999,-999,-999
886,2,2,2,2,2
887,2,2,2,2,2
890,2,2,2,2,2
357,5,5,5,5,5
2913,16,-999,-999,-999,-999
2379,16,-999,-999,-999,-999
2380,2,2,2,2,2
1539,16,-999,-999,-999,-999
974,16,-999,-999,-999,-999
1080,28,19,19,19,19
1079,2,2,2,2,2
2919,2,2,2,2,2
1312,16,-999,-999,-999,-999
1074,2,2,2,2,2
1073,2,2,2,2,2
1541,28,19,28,19,28
2375,2,2,2,2,2
3271,28,19,19,19,19
2376,5,5,5,5,5
1458,2,2,2,2,2
659,2,2,2,2,2
1690,2,2,2,2,2
1668,2,2,2,2,2
932,16,-999,-999,-999,-999
2750,16,-999,-999,-999,-999
1667,2,2,2,2,2
1101,2,2,2,2,2
937,28,19,28,19,28
699,28,19,19,19,19
2588,2,2,2,2,2
2587,11,-999,-999,-999,-999
2586,11,-999,-999,-999,-999
2585,2,2,2,2,2
2584,2,2,2,2,2
2583,2,2,2,2,2
2582,2,2,2,2,2
2581,2,2,2,2,2
1352,16,-999,-999,-999,-999
