 HRU   WRID   WSRC   PRIOR   WATER(acre-ft)   YEAR
   776     1697      3      2       0.0000000000   1997
   777     1736      5      1      52.6939461103   1997
   777     1697      3      2       0.0000000000   1997
   778     1736      5      1       8.7799175761   1997
   778     1697      3      2       0.0000000000   1997
   779     1736      5      1     245.4240705429   1997
   779     1697      3      2       0.0000000000   1997
   780     1736      5      1     169.0207626006   1997
   780     1697      3      2       0.0000000000   1997
   781     1736      5      1     695.8007318386   1997
   781     1697      3      2       0.0000000000   1997
   783     1736      5      1     322.4474670405   1997
   783     1697      3      2       0.0000000000   1997
   786     1736      5      1     547.9485495886   1997
   786     1697      3      2       0.0000000000   1997
   787     1736      5      1       0.9425105363   1997
   788     1736      5      1     407.6458208629   1997
   788     1697      3      2       0.0000000000   1997
   803      792      4      1     176.0913752157   1997
   804      792      4      1      27.9398287550   1997
   805      792      4      1      19.8522030038   1997
   806      792      4      1     314.1082902556   1997
   807      942      4      1      13.1069563721   1997
   808     1736      5      2       1.8850210726   1997
   813     1773      5      1     515.0379555072   1997
   814     1773      5      1       0.0000000000   1997
   815     1773      5      1      64.9403942307   1997
   816     1773      5      1       0.0000000000   1997
   817     1773      5      1      24.8008560789   1997
   818     1773      5      1     160.7193206197   1997
   819     1773      5      1     130.0208971869   1997
   820     1299      3      1       0.0000000000   1997
   821     1299      3      1       0.0000000000   1997
   822     1299      3      1       0.0000000000   1997
   823     1299      3      1       0.0000000000   1997
   824     1299      3      1       0.0000000000   1997
   825     1299      3      1       0.0000000000   1997
   826     1299      3      1       0.0000000000   1997
   827     1299      3      1       0.0000000000   1997
   828     1299      3      1       0.0000000000   1997
   829     1299      3      1       0.0000000000   1997
   830     1299      3      1       0.0000000000   1997
   831     1299      3      1       0.0000000000   1997
   832     1782      5      1       4.8893432466   1997
   833     1782      5      1      36.4250452482   1997
   834     1782      5      1      14.1884796913   1997
   835     1782      5      1      12.0572153849   1997
   836     1782      5      1       4.2713821091   1997
   837     1782      5      1       9.8588407180   1997
   838     1782      5      1       0.0000000000   1997
   839     1782      5      1       0.0000000000   1997
   840     1782      5      1       0.0000000000   1997
   841     1782      5      1       0.0000000000   1997
   842     1782      5      1      14.7370311382   1997
   843     1782      5      1       0.0000000000   1997
   844     1736      5      1     510.4337936862   1997
   844     1697      3      2       0.0000000000   1997
   845     1784      5      1       3.5391850844   1997
   846     1784      5      1       0.7857477830   1997
   847     1784      5      1       0.0000000000   1997
   848     1784      5      1       0.0000000000   1997
   849     1784      5      1       6.5980894919   1997
   850     1784      5      1       0.0000000000   1997
   851     1784      5      1       8.0004231120   1997
   852     1784      5      1       0.0000000000   1997
   853     1784      5      1       0.0000000000   1997
   854     1736      5      1       1.9714071273   1997
   854     1697      3      2       0.0000000000   1997
   855      224      1      1       0.0000000000   1997
   856     1736      5      1     593.1978228717   1997
   856     1697      3      2       0.0000000000   1997
   857     1736      5      1     184.1692234408   1997
   857     1697      3      2       0.0000000000   1997
   858     1736      5      1      44.9143016862   1997
   859      942      4      1       6.5730762163   1997
   860     1697      3      1       6.7510057020   1997
   861     1736      5      1       1.4904817784   1997
   864     1697      3      2       1.8265708068   1997
   866     1697      3      1       0.8986728370   1997
   867     1697      3      1       2.1042095695   1997
   868     1736      5      1       1.4904817784   1997
   869     1697      3      2       5.1143982591   1997
   870     1615      3      1     146.3072041944   1997
   870     1689      3      2       0.0000000000   1997
   880     1299      3      1       6.5733340852   1997
   881     1736      5      1       3.3306336764   1997
   881     1697      3      2       0.0000000000   1997
   882     1299      3      1       0.0000000000   1997
   883     1689      3      1       0.7671597389   1997
   883     1691      3      2       0.0000000000   1997
   884     1736      5      1     529.9386044116   1997
   884     1697      3      2       0.0000000000   1997
   885      224      1      1      23.2685350845   1997
   885     1689      3      2       0.0000000000   1997
   885     1691      3      3       0.0000000000   1997
   886     1689      3      1      99.9132082421   1997
   886     1691      3      2       0.0000000000   1997
   890     1736      5      1     462.1621689008   1997
   890     1697      3      2       0.0000000000   1997
   891      942      4      1       0.6575654905   1997
   893     1736      5      1       8.3827995936   1997
   893     1697      3      2       0.0000000000   1997
   894     1736      5      1      14.6698992888   1997
   894     1697      3      2       0.0000000000   1997
   895     1736      5      1      19.5923571897   1997
   895     1697      3      2       0.0000000000   1997
   896     1736      5      1       6.5307857299   1997
   896     1697      3      2       0.0000000000   1997
   897     1697      3      1       0.4467577303   1997
   898     1736      5      1       1.3646417943   1997
   898     1697      3      2       0.0000000000   1997
   899     1736      5      1       0.1949488278   1997
   899     1697      3      2       0.0000000000   1997
   900     1736      5      1       3.1191812441   1997
   900     1697      3      2       0.0000000000   1997
   901     1736      5      1       0.3898976555   1997
   901     1697      3      2       0.0000000000   1997
   902     1736      5      1      23.1989105032   1997
   902     1697      3      2       0.0000000000   1997
   903     1736      5      1      24.8559755392   1997
   903     1697      3      2       0.0000000000   1997
   904     1736      5      1       8.6508542318   1997
   904     1697      3      2       0.0000000000   1997
   905     1736      5      1       1.6570650359   1997
   905     1697      3      2       0.0000000000   1997
   906     1736      5      1       8.2853251797   1997
   906     1697      3      2       0.0000000000   1997
   907     1736      5      1       0.0000000000   1997
   907     1697      3      2       0.0000000000   1997
   908     1736      5      1     118.9017655903   1997
   908     1697      3      2       0.0000000000   1997
   909     1736      5      1       4.4644828770   1997
   910     1736      5      1       4.7723782478   1997
   917     1736      5      1     218.9027781656   1997
   917     1697      3      2       0.0000000000   1997
   918     1736      5      1      21.4025963046   1997
   918     1697      3      2       0.0000000000   1997
   919     1736      5      1       8.0532432419   1997
   919     1697      3      2       0.0000000000   1997
   920     1736      5      1       0.8996613341   1997
   920     1697      3      2       0.0000000000   1997
   921     1736      5      1      10.1725381373   1997
   921     1697      3      2       0.0000000000   1997
   922     1736      5      1      13.4612681305   1997
   922     1697      3      2       0.0000000000   1997
   923     1736      5      1      48.2592900602   1997
   923     1697      3      2       0.0000000000   1997
   924     1736      5      1      11.7017432168   1997
   924     1697      3      2       0.0000000000   1997
   925      792      4      1     140.4482526963   1997
   926     1736      5      1     865.4987868944   1997
   926     1697      3      2       0.0000000000   1997
   944     1736      5      1     220.7014991399   1997
   944     1697      3      2       0.0000000000   1997
   946      792      4      1      36.6058542690   1997
   951     1176      4      1       1.5000796486   1997
   952     1177      4      1      15.8387094564   1997
   953     1295      4      1     328.0000000000   1997
   954     1176      4      1      47.1568248370   1997
   955     1296      4      1       7.5766179613   1997
   956     1176      4      1      31.4399409471   1997
   957     1296      4      1       0.9451245086   1997
   964     1176      4      1     169.1756492550   1997
   970      920      4      1       9.2419873133   1997
   971      927      3      1       5.8813906369   1997
   972     1070      3      1      12.4914039871   1997
   973     1070      3      1      28.2831847739   1997
   974     1070      3      1       3.8248440523   1997
   975     1070      3      1       0.0000000000   1997
   976     1070      3      1      72.8839719046   1997
   977     1070      3      1       2.5643840805   1997
   978     1070      3      1      12.8434634965   1997
   979     1070      3      1       3.3148648453   1997
   980     1070      3      1       2.3905275327   1997
   981     1070      3      1       0.9243373126   1997
   985     1070      3      1       5.3158529244   1997
   986     1805      5      1      28.8727852405   1997
   986     1070      3      2       0.0000000000   1997
   988     1070      3      1       6.8755225347   1997
   989     1805      5      1      18.9735445866   1997
   989     1070      3      2       0.0000000000   1997
   990     1070      3      1       2.3366068062   1997
   991     1805      5      1       0.6190804899   1997
   992     1805      5      1      20.7453695784   1997
   992     1070      3      2       0.0000000000   1997
  1002     1628      4      1      27.6701199726   1997
  1002     1629      4      2       0.0000000000   1997
  1004      920      4      1      76.1009794503   1997
  1005     1149      4      1       3.8586389936   1997
  1006     1172      4      1      24.3667510765   1997
  1007     1176      4      1      53.1509702640   1997
  1008     1177      4      1       0.0000000000   1997
  1009     1659      3      1      15.1898969772   1997
  1023     1203      3      1       0.0000000000   1997
  1024     1203      3      1       0.0000000000   1997
  1025      928      4      1       9.9314923033   1997
  1026      936      4      1       2.8879084391   1997
  1027      938      4      1       9.1355316735   1997
  1029     1149      4      1       0.3963425359   1997
  1030     1661      3      1       0.0000000000   1997
  1031     1237      4      1       0.4420743669   1997
  1032     1203      3      1       0.0000000000   1997
  1036     1628      4      1       1.1765552900   1997
  1036     1629      4      2       0.0000000000   1997
  1037     1628      4      1       0.8036140974   1997
  1037     1629      4      2       0.0000000000   1997
  1038     1628      4      1       0.4001535218   1997
  1038     1629      4      2       0.0000000000   1997
  1039     1628      4      1       0.7194259539   1997
  1039     1629      4      2       0.0000000000   1997
  1040     1628      4      1       1.1005875376   1997
  1040     1629      4      2       0.0000000000   1997
  1041     1659      3      1       0.0000000000   1997
  1042     1295      4      1       0.0000000000   1997
  1043     1661      3      1       0.0000000000   1997
  1043     1662      4      2       0.0000000000   1997
  1044     1805      5      1       0.1676833806   1997
  1045     1661      3      1       0.0000000000   1997
  1046     1296      4      1      35.3498235282   1997
  1047     1659      3      1       0.0000000000   1997
  1055     1203      3      1       0.0000000000   1997
  1060      920      4      1      66.3776740638   1997
  1061      927      3      1      69.9135760926   1997
  1062      928      4      1     197.0689166264   1997
  1063      936      4      1       2.4746211890   1997
  1064      938      4      1     115.1262941775   1997
  1065     1628      4      1       5.6153775204   1997
  1065     1629      4      2       0.0000000000   1997
  1069     1805      5      1       1.0688398201   1997
  1069     1070      3      2       0.0000000000   1997
  1070     1805      5      1       0.1753053524   1997
  1070     1070      3      2       0.0000000000   1997
  1071     1805      5      1       0.6190804899   1997
  1071     1070      3      2       0.0000000000   1997
  1072     1805      5      1       1.1070126709   1997
  1072     1070      3      2       0.0000000000   1997
  1073     1236      4      1      27.4279491399   1997
